Symbol,Tweet,Recorded time
"btcbrl","\xf0\x9f\x91\x91 Arbitrum 20 X Long \xf0\x9f\x8e\xa9  \xe2\xad\x90\xef\xb8\x8fBe\xc4\x9fen rt yap trc20 at kaarda kapat\xc4\xb1rsak 2 ki\xc5\x9fiye 150 USDT \xf0\x9f\xa4\x91  https://www.btse.com/en/ref?c=ifo6ZXJD #bitcoin #arbitrum #btse #crypto #coin #airdrop #marjin #kald\xc4\xb1ra\xc3\xa7 #vadelii\xc5\x9flem #forex","Jan 6, 2024 \xc2\xb7 10:02 AM UTC","1704548655"
"btceur","\xf0\x9f\x91\x91 Arbitrum 20 X Long \xf0\x9f\x8e\xa9  \xe2\xad\x90\xef\xb8\x8fBe\xc4\x9fen rt yap trc20 at kaarda kapat\xc4\xb1rsak 2 ki\xc5\x9fiye 150 USDT \xf0\x9f\xa4\x91  https://www.btse.com/en/ref?c=ifo6ZXJD #bitcoin #arbitrum #btse #crypto #coin #airdrop #marjin #kald\xc4\xb1ra\xc3\xa7 #vadelii\xc5\x9flem #forex","Jan 6, 2024 \xc2\xb7 10:02 AM UTC","1704548655"
"btcrub","\xf0\x9f\x91\x91 Arbitrum 20 X Long \xf0\x9f\x8e\xa9  \xe2\xad\x90\xef\xb8\x8fBe\xc4\x9fen rt yap trc20 at kaarda kapat\xc4\xb1rsak 2 ki\xc5\x9fiye 150 USDT \xf0\x9f\xa4\x91  https://www.btse.com/en/ref?c=ifo6ZXJD #bitcoin #arbitrum #btse #crypto #coin #airdrop #marjin #kald\xc4\xb1ra\xc3\xa7 #vadelii\xc5\x9flem #forex","Jan 6, 2024 \xc2\xb7 10:02 AM UTC","1704548655"
"btcusdt","\xf0\x9f\x91\x91 Arbitrum 20 X Long \xf0\x9f\x8e\xa9  \xe2\xad\x90\xef\xb8\x8fBe\xc4\x9fen rt yap trc20 at kaarda kapat\xc4\xb1rsak 2 ki\xc5\x9fiye 150 USDT \xf0\x9f\xa4\x91  https://www.btse.com/en/ref?c=ifo6ZXJD #bitcoin #arbitrum #btse #crypto #coin #airdrop #marjin #kald\xc4\xb1ra\xc3\xa7 #vadelii\xc5\x9flem #forex","Jan 6, 2024 \xc2\xb7 10:02 AM UTC","1704548655"
"btcdai","\xf0\x9f\x91\x91 Arbitrum 20 X Long \xf0\x9f\x8e\xa9  \xe2\xad\x90\xef\xb8\x8fBe\xc4\x9fen rt yap trc20 at kaarda kapat\xc4\xb1rsak 2 ki\xc5\x9fiye 150 USDT \xf0\x9f\xa4\x91  https://www.btse.com/en/ref?c=ifo6ZXJD #bitcoin #arbitrum #btse #crypto #coin #airdrop #marjin #kald\xc4\xb1ra\xc3\xa7 #vadelii\xc5\x9flem #forex","Jan 6, 2024 \xc2\xb7 10:02 AM UTC","1704548655"
"btcrub","\xf0\x9f\x91\x91 Arbitrum 20 X Long \xf0\x9f\x8e\xa9  \xe2\xad\x90\xef\xb8\x8fBe\xc4\x9fen rt yap trc20 at kaarda kapat\xc4\xb1rsak 2 ki\xc5\x9fiye 150 USDT \xf0\x9f\xa4\x91  https://www.btse.com/en/ref?c=ifo6ZXJD #bitcoin #arbitrum #btse #crypto #coin #airdrop #marjin #kald\xc4\xb1ra\xc3\xa7 #vadelii\xc5\x9flem #forex","Jan 6, 2024 \xc2\xb7 10:02 AM UTC","1704548655"
"btceur","\xf0\x9f\x91\x91 Arbitrum 20 X Long \xf0\x9f\x8e\xa9  \xe2\xad\x90\xef\xb8\x8fBe\xc4\x9fen rt yap trc20 at kaarda kapat\xc4\xb1rsak 2 ki\xc5\x9fiye 150 USDT \xf0\x9f\xa4\x91  https://www.btse.com/en/ref?c=ifo6ZXJD #bitcoin #arbitrum #btse #crypto #coin #airdrop #marjin #kald\xc4\xb1ra\xc3\xa7 #vadelii\xc5\x9flem #forex","Jan 6, 2024 \xc2\xb7 10:02 AM UTC","1704548655"
"btcusdp","\xf0\x9f\x91\x91 Arbitrum 20 X Long \xf0\x9f\x8e\xa9  \xe2\xad\x90\xef\xb8\x8fBe\xc4\x9fen rt yap trc20 at kaarda kapat\xc4\xb1rsak 2 ki\xc5\x9fiye 150 USDT \xf0\x9f\xa4\x91  https://www.btse.com/en/ref?c=ifo6ZXJD #bitcoin #arbitrum #btse #crypto #coin #airdrop #marjin #kald\xc4\xb1ra\xc3\xa7 #vadelii\xc5\x9flem #forex","Jan 6, 2024 \xc2\xb7 10:02 AM UTC","1704548655"
"btceur","\xf0\x9f\x91\x91 Arbitrum 20 X Long \xf0\x9f\x8e\xa9  \xe2\xad\x90\xef\xb8\x8fBe\xc4\x9fen rt yap trc20 at kaarda kapat\xc4\xb1rsak 2 ki\xc5\x9fiye 150 USDT \xf0\x9f\xa4\x91  https://www.btse.com/en/ref?c=ifo6ZXJD #bitcoin #arbitrum #btse #crypto #coin #airdrop #marjin #kald\xc4\xb1ra\xc3\xa7 #vadelii\xc5\x9flem #forex","Jan 6, 2024 \xc2\xb7 10:02 AM UTC","1704548655"
"btcbrl","\xf0\x9f\x91\x91 Arbitrum 20 X Long \xf0\x9f\x8e\xa9  \xe2\xad\x90\xef\xb8\x8fBe\xc4\x9fen rt yap trc20 at kaarda kapat\xc4\xb1rsak 2 ki\xc5\x9fiye 150 USDT \xf0\x9f\xa4\x91  https://www.btse.com/en/ref?c=ifo6ZXJD #bitcoin #arbitrum #btse #crypto #coin #airdrop #marjin #kald\xc4\xb1ra\xc3\xa7 #vadelii\xc5\x9flem #forex","Jan 6, 2024 \xc2\xb7 10:02 AM UTC","1704548655"
"btcrub","\xf0\x9f\x91\x91 Arbitrum 20 X Long \xf0\x9f\x8e\xa9  \xe2\xad\x90\xef\xb8\x8fBe\xc4\x9fen rt yap trc20 at kaarda kapat\xc4\xb1rsak 2 ki\xc5\x9fiye 150 USDT \xf0\x9f\xa4\x91  https://www.btse.com/en/ref?c=ifo6ZXJD #bitcoin #arbitrum #btse #crypto #coin #airdrop #marjin #kald\xc4\xb1ra\xc3\xa7 #vadelii\xc5\x9flem #forex","Jan 6, 2024 \xc2\xb7 10:02 AM UTC","1704548655"
"btcuah","\xf0\x9f\x91\x91 Arbitrum 20 X Long \xf0\x9f\x8e\xa9  \xe2\xad\x90\xef\xb8\x8fBe\xc4\x9fen rt yap trc20 at kaarda kapat\xc4\xb1rsak 2 ki\xc5\x9fiye 150 USDT \xf0\x9f\xa4\x91  https://www.btse.com/en/ref?c=ifo6ZXJD #bitcoin #arbitrum #btse #crypto #coin #airdrop #marjin #kald\xc4\xb1ra\xc3\xa7 #vadelii\xc5\x9flem #forex","Jan 6, 2024 \xc2\xb7 10:02 AM UTC","1704548655"
"btcusdp","\xf0\x9f\x91\x91 Arbitrum 20 X Long \xf0\x9f\x8e\xa9  \xe2\xad\x90\xef\xb8\x8fBe\xc4\x9fen rt yap trc20 at kaarda kapat\xc4\xb1rsak 2 ki\xc5\x9fiye 150 USDT \xf0\x9f\xa4\x91  https://www.btse.com/en/ref?c=ifo6ZXJD #bitcoin #arbitrum #btse #crypto #coin #airdrop #marjin #kald\xc4\xb1ra\xc3\xa7 #vadelii\xc5\x9flem #forex","Jan 6, 2024 \xc2\xb7 10:02 AM UTC","1704548655"
"btcuah","\xf0\x9f\x91\x91 Arbitrum 20 X Long \xf0\x9f\x8e\xa9  \xe2\xad\x90\xef\xb8\x8fBe\xc4\x9fen rt yap trc20 at kaarda kapat\xc4\xb1rsak 2 ki\xc5\x9fiye 150 USDT \xf0\x9f\xa4\x91  https://www.btse.com/en/ref?c=ifo6ZXJD #bitcoin #arbitrum #btse #crypto #coin #airdrop #marjin #kald\xc4\xb1ra\xc3\xa7 #vadelii\xc5\x9flem #forex","Jan 6, 2024 \xc2\xb7 10:02 AM UTC","1704548655"
"btcusdp","\xf0\x9f\x91\x91 Arbitrum 20 X Long \xf0\x9f\x8e\xa9  \xe2\xad\x90\xef\xb8\x8fBe\xc4\x9fen rt yap trc20 at kaarda kapat\xc4\xb1rsak 2 ki\xc5\x9fiye 150 USDT \xf0\x9f\xa4\x91  https://www.btse.com/en/ref?c=ifo6ZXJD #bitcoin #arbitrum #btse #crypto #coin #airdrop #marjin #kald\xc4\xb1ra\xc3\xa7 #vadelii\xc5\x9flem #forex","Jan 6, 2024 \xc2\xb7 10:02 AM UTC","1704548655"
"btcbrl","\xf0\x9f\x91\x91 Arbitrum 20 X Long \xf0\x9f\x8e\xa9  \xe2\xad\x90\xef\xb8\x8fBe\xc4\x9fen rt yap trc20 at kaarda kapat\xc4\xb1rsak 2 ki\xc5\x9fiye 150 USDT \xf0\x9f\xa4\x91  https://www.btse.com/en/ref?c=ifo6ZXJD #bitcoin #arbitrum #btse #crypto #coin #airdrop #marjin #kald\xc4\xb1ra\xc3\xa7 #vadelii\xc5\x9flem #forex","Jan 6, 2024 \xc2\xb7 10:02 AM UTC","1704548655"
"btcdai","\xf0\x9f\x91\x91 Arbitrum 20 X Long \xf0\x9f\x8e\xa9  \xe2\xad\x90\xef\xb8\x8fBe\xc4\x9fen rt yap trc20 at kaarda kapat\xc4\xb1rsak 2 ki\xc5\x9fiye 150 USDT \xf0\x9f\xa4\x91  https://www.btse.com/en/ref?c=ifo6ZXJD #bitcoin #arbitrum #btse #crypto #coin #airdrop #marjin #kald\xc4\xb1ra\xc3\xa7 #vadelii\xc5\x9flem #forex","Jan 6, 2024 \xc2\xb7 10:02 AM UTC","1704548655"
"btcrub","\xf0\x9f\x91\x91 Arbitrum 20 X Long \xf0\x9f\x8e\xa9  \xe2\xad\x90\xef\xb8\x8fBe\xc4\x9fen rt yap trc20 at kaarda kapat\xc4\xb1rsak 2 ki\xc5\x9fiye 150 USDT \xf0\x9f\xa4\x91  https://www.btse.com/en/ref?c=ifo6ZXJD #bitcoin #arbitrum #btse #crypto #coin #airdrop #marjin #kald\xc4\xb1ra\xc3\xa7 #vadelii\xc5\x9flem #forex","Jan 6, 2024 \xc2\xb7 10:02 AM UTC","1704548655"
"btcuah","\xf0\x9f\x91\x91 Arbitrum 20 X Long \xf0\x9f\x8e\xa9  \xe2\xad\x90\xef\xb8\x8fBe\xc4\x9fen rt yap trc20 at kaarda kapat\xc4\xb1rsak 2 ki\xc5\x9fiye 150 USDT \xf0\x9f\xa4\x91  https://www.btse.com/en/ref?c=ifo6ZXJD #bitcoin #arbitrum #btse #crypto #coin #airdrop #marjin #kald\xc4\xb1ra\xc3\xa7 #vadelii\xc5\x9flem #forex","Jan 6, 2024 \xc2\xb7 10:02 AM UTC","1704548655"
"btcusdt","\xf0\x9f\x91\x91 Arbitrum 20 X Long \xf0\x9f\x8e\xa9  \xe2\xad\x90\xef\xb8\x8fBe\xc4\x9fen rt yap trc20 at kaarda kapat\xc4\xb1rsak 2 ki\xc5\x9fiye 150 USDT \xf0\x9f\xa4\x91  https://www.btse.com/en/ref?c=ifo6ZXJD #bitcoin #arbitrum #btse #crypto #coin #airdrop #marjin #kald\xc4\xb1ra\xc3\xa7 #vadelii\xc5\x9flem #forex","Jan 6, 2024 \xc2\xb7 10:02 AM UTC","1704548655"
"btcdai","\xf0\x9f\x91\x91 Arbitrum 20 X Long \xf0\x9f\x8e\xa9  \xe2\xad\x90\xef\xb8\x8fBe\xc4\x9fen rt yap trc20 at kaarda kapat\xc4\xb1rsak 2 ki\xc5\x9fiye 150 USDT \xf0\x9f\xa4\x91  https://www.btse.com/en/ref?c=ifo6ZXJD #bitcoin #arbitrum #btse #crypto #coin #airdrop #marjin #kald\xc4\xb1ra\xc3\xa7 #vadelii\xc5\x9flem #forex","Jan 6, 2024 \xc2\xb7 10:02 AM UTC","1704548655"
"btceur","\xf0\x9f\x91\x91 Arbitrum 20 X Long \xf0\x9f\x8e\xa9  \xe2\xad\x90\xef\xb8\x8fBe\xc4\x9fen rt yap trc20 at kaarda kapat\xc4\xb1rsak 2 ki\xc5\x9fiye 150 USDT \xf0\x9f\xa4\x91  https://www.btse.com/en/ref?c=ifo6ZXJD #bitcoin #arbitrum #btse #crypto #coin #airdrop #marjin #kald\xc4\xb1ra\xc3\xa7 #vadelii\xc5\x9flem #forex","Jan 6, 2024 \xc2\xb7 10:02 AM UTC","1704548655"
"btcuah","\xf0\x9f\x91\x91 Arbitrum 20 X Long \xf0\x9f\x8e\xa9  \xe2\xad\x90\xef\xb8\x8fBe\xc4\x9fen rt yap trc20 at kaarda kapat\xc4\xb1rsak 2 ki\xc5\x9fiye 150 USDT \xf0\x9f\xa4\x91  https://www.btse.com/en/ref?c=ifo6ZXJD #bitcoin #arbitrum #btse #crypto #coin #airdrop #marjin #kald\xc4\xb1ra\xc3\xa7 #vadelii\xc5\x9flem #forex","Jan 6, 2024 \xc2\xb7 10:02 AM UTC","1704548655"
"btceur","\xf0\x9f\x91\x91 Arbitrum 20 X Long \xf0\x9f\x8e\xa9  \xe2\xad\x90\xef\xb8\x8fBe\xc4\x9fen rt yap trc20 at kaarda kapat\xc4\xb1rsak 2 ki\xc5\x9fiye 150 USDT \xf0\x9f\xa4\x91  https://www.btse.com/en/ref?c=ifo6ZXJD #bitcoin #arbitrum #btse #crypto #coin #airdrop #marjin #kald\xc4\xb1ra\xc3\xa7 #vadelii\xc5\x9flem #forex","Jan 6, 2024 \xc2\xb7 10:02 AM UTC","1704548655"
"btcusdt","\xf0\x9f\x91\x91 Arbitrum 20 X Long \xf0\x9f\x8e\xa9  \xe2\xad\x90\xef\xb8\x8fBe\xc4\x9fen rt yap trc20 at kaarda kapat\xc4\xb1rsak 2 ki\xc5\x9fiye 150 USDT \xf0\x9f\xa4\x91  https://www.btse.com/en/ref?c=ifo6ZXJD #bitcoin #arbitrum #btse #crypto #coin #airdrop #marjin #kald\xc4\xb1ra\xc3\xa7 #vadelii\xc5\x9flem #forex","Jan 6, 2024 \xc2\xb7 10:02 AM UTC","1704548655"
"btcbrl","\xf0\x9f\x91\x91 Arbitrum 20 X Long \xf0\x9f\x8e\xa9  \xe2\xad\x90\xef\xb8\x8fBe\xc4\x9fen rt yap trc20 at kaarda kapat\xc4\xb1rsak 2 ki\xc5\x9fiye 150 USDT \xf0\x9f\xa4\x91  https://www.btse.com/en/ref?c=ifo6ZXJD #bitcoin #arbitrum #btse #crypto #coin #airdrop #marjin #kald\xc4\xb1ra\xc3\xa7 #vadelii\xc5\x9flem #forex","Jan 6, 2024 \xc2\xb7 10:02 AM UTC","1704548655"
